"库区代码","品名代码","品名中文","库存量"
BFM5,A2MMFFM1,"1级肥煤",13361.24000
BFM5,A2MMGPS,国内贫瘦煤,20927.98000
BFM5,A2MMJPS1,"1级贫瘦煤",400.00000
BFM5,A2MMSYM2,"2级1/3焦煤",41174.92000
BFM5,A2MMZJM2,"2级主焦煤",6999.92000
LJM1,A2MMFFM1,"1级肥煤",39009.07400
LJM1,A2MMFFM2,"2级肥煤",51048.17500
LJM1,A2MMJPS1,"1级贫瘦煤",22162.01800
LJM1,A2MMQQM1,"1级气煤",7388.03000
LJM1,A2MMQQM2,"2级气煤",14030.26000
LJM1,A2MMSJM2,"2级瘦焦煤",19924.66800
LJM1,A2MMSYM1,"1级1/3焦煤",16571.86400
LJM1,A2MMSYM2,"2级1/3焦煤",3997.14000
LJM1,A2MMSYM3,"3级1/3焦煤",15547.89200
LJM1,A2MMZJM1,"1级主焦煤",111868.41000
LJM1,A2MMZJM2,"2级主焦煤",11692.06800
LJM1,A2MMZJM3,"3级主焦煤",74216.46000
LJM4,A2MMFFM1,"1级肥煤",18422.88400
LJM4,A2MMFFM2,"2级肥煤",13180.83300
LJM4,A2MMQQM1,"1级气煤",7846.49200
LJM4,A2MMSJM2,"2级瘦焦煤",10847.30000
LJM4,A2MMSYM1,"1级1/3焦煤",3919.24400
LJM4,A2MMSYM2,"2级1/3焦煤",23585.55000
LJM4,A2MMSYM3,"3级1/3焦煤",5925.38600
LJM4,A2MMZJM1,"1级主焦煤",61912.09000
LJM4,A2MMZJM2,"2级主焦煤",38643.88000
LJM4,A2MMZJM3,"3级主焦煤",37552.42100
LJM5,A2MMFFM1,"1级肥煤",15808.07800
LJM5,A2MMGPS,国内贫瘦煤,52149.16000
LJM5,A2MMJPS1,"1级贫瘦煤",8863.36400
LJM5,A2MMQQM1,"1级气煤",3298.08000
LJM5,A2MMSYM1,"1级1/3焦煤",2359.20000
LJM5,A2MMSYM2,"2级1/3焦煤",7895.20000
LJM5,A2MMSYM3,"3级1/3焦煤",10387.68000
LJM5,A2MMZJM1,"1级主焦煤",58498.99600
LJM5,A2MMZJM2,"2级主焦煤",28489.04400
LJM5,A2MMZJM3,"3级主焦煤",35176.76400
LJXX,A2MMFFM1,"1级肥煤",772.80000
LJXX,A2MMFFM2,"2级肥煤",723.82000
LJXX,A2MMJPS1,"1级贫瘦煤",1781.78000
LJXX,A2MMQQM1,"1级气煤",438.60000
LJXX,A2MMSJM2,"2级瘦焦煤",338.60000
LJXX,A2MMSYM3,"3级1/3焦煤",714.64000
LJXX,A2MMZJM1,"1级主焦煤",10492.08600
LJXX,A2MMZJM2,"2级主焦煤",79.80000
LJXX,A2MMZJM3,"3级主焦煤",1554.40000
