"库区代码","品名代码","品名中文","库存量"
BFM5,A2MMFFM1,"1级肥煤",6680.62000
BFM5,A2MMGPS,国内贫瘦煤,8411.54000
BFM5,A2MMJPS1,"1级贫瘦煤",200.00000
BFM5,A2MMSYM2,"2级1/3焦煤",20587.46000
BFM5,A2MMZJM2,"2级主焦煤",3499.96000
LJM1,A2MMFFM1,"1级肥煤",18490.85800
LJM1,A2MMFFM2,"2级肥煤",25581.91300
LJM1,A2MMJPS1,"1级贫瘦煤",11479.33400
LJM1,A2MMQQM1,"1级气煤",1938.10000
LJM1,A2MMQQM2,"2级气煤",6277.10000
LJM1,A2MMSJM2,"2级瘦焦煤",11212.35400
LJM1,A2MMSYM1,"1级1/3焦煤",8199.30200
LJM1,A2MMSYM2,"2级1/3焦煤",1547.02000
LJM1,A2MMSYM3,"3级1/3焦煤",10489.69600
LJM1,A2MMZJM1,"1级主焦煤",58888.11000
LJM1,A2MMZJM2,"2级主焦煤",7128.09400
LJM1,A2MMZJM3,"3级主焦煤",37714.96000
LJM4,A2MMFFM1,"1级肥煤",8093.73200
LJM4,A2MMFFM2,"2级肥煤",5199.18400
LJM4,A2MMQQM1,"1级气煤",3696.91600
LJM4,A2MMSJM2,"2级瘦焦煤",8458.84000
LJM4,A2MMSYM1,"1级1/3焦煤",1469.91200
LJM4,A2MMSYM2,"2级1/3焦煤",11546.31000
LJM4,A2MMSYM3,"3级1/3焦煤",3067.10600
LJM4,A2MMZJM1,"1级主焦煤",31258.55000
LJM4,A2MMZJM2,"2级主焦煤",16714.87000
LJM4,A2MMZJM3,"3级主焦煤",18605.82400
LJM5,A2MMFFM1,"1级肥煤",8577.23400
LJM5,A2MMGPS,国内贫瘦煤,26009.32000
LJM5,A2MMJPS1,"1级贫瘦煤",4649.91200
LJM5,A2MMQQM1,"1级气煤",1649.04000
LJM5,A2MMSYM1,"1级1/3焦煤",1179.60000
LJM5,A2MMSYM2,"2级1/3焦煤",3947.60000
LJM5,A2MMSYM3,"3级1/3焦煤",5193.84000
LJM5,A2MMZJM1,"1级主焦煤",37362.13800
LJM5,A2MMZJM2,"2级主焦煤",14244.52200
LJM5,A2MMZJM3,"3级主焦煤",18020.90200
LJXX,A2MMFFM1,"1级肥煤",0.00000
LJXX,A2MMFFM2,"2级肥煤",723.82000
LJXX,A2MMJPS1,"1级贫瘦煤",436.66000
LJXX,A2MMQQM1,"1级气煤",0.00000
LJXX,A2MMSJM2,"2级瘦焦煤",0.00000
LJXX,A2MMSYM3,"3级1/3焦煤",714.64000
LJXX,A2MMZJM1,"1级主焦煤",4773.50600
LJXX,A2MMZJM2,"2级主焦煤",79.80000
LJXX,A2MMZJM3,"3级主焦煤",1077.20000
