"库区代码","品名代码","品名中文","库存量"
BFM5,A2MMFFM1,"1级肥煤",16701.55000
BFM5,A2MMGPS,国内贫瘦煤,27523.10000
BFM5,A2MMJPS1,"1级贫瘦煤",500.00000
BFM5,A2MMSYM2,"2级1/3焦煤",51468.65000
BFM5,A2MMZJM2,"2级主焦煤",8749.90000
LJM1,A2MMFFM1,"1级肥煤",48901.49700
LJM1,A2MMFFM2,"2级肥煤",66579.88600
LJM1,A2MMJPS1,"1级贫瘦煤",28386.76500
LJM1,A2MMQQM1,"1级气煤",9691.99000
LJM1,A2MMQQM2,"2级气煤",18487.04000
LJM1,A2MMSJM2,"2级瘦焦煤",21297.74500
LJM1,A2MMSYM1,"1级1/3焦煤",20758.14500
LJM1,A2MMSYM2,"2级1/3焦煤",6116.26000
LJM1,A2MMSYM3,"3级1/3焦煤",18798.53000
LJM1,A2MMZJM1,"1级主焦煤",131956.49000
LJM1,A2MMZJM2,"2级主焦煤",14677.77500
LJM1,A2MMZJM3,"3级主焦煤",92124.93000
LJM4,A2MMFFM1,"1级肥煤",21920.09000
LJM4,A2MMFFM2,"2级肥煤",18069.59100
LJM4,A2MMQQM1,"1级气煤",8201.82600
LJM4,A2MMSJM2,"2级瘦焦煤",11451.27000
LJM4,A2MMSYM1,"1级1/3焦煤",5649.93000
LJM4,A2MMSYM2,"2级1/3焦煤",29751.87000
LJM4,A2MMSYM3,"3级1/3焦煤",7498.04500
LJM4,A2MMZJM1,"1级主焦煤",77586.95000
LJM4,A2MMZJM2,"2级主焦煤",51916.08900
LJM4,A2MMZJM3,"3级主焦煤",47601.64100
LJM5,A2MMFFM1,"1级肥煤",15858.02500
LJM5,A2MMGPS,国内贫瘦煤,66563.25000
LJM5,A2MMJPS1,"1级贫瘦煤",9511.23000
LJM5,A2MMQQM1,"1级气煤",4122.60000
LJM5,A2MMSYM1,"1级1/3焦煤",2949.00000
LJM5,A2MMSYM2,"2级1/3焦煤",9869.00000
LJM5,A2MMSYM3,"3级1/3焦煤",12984.60000
LJM5,A2MMZJM1,"1级主焦煤",65667.79000
LJM5,A2MMZJM2,"2级主焦煤",36535.57500
LJM5,A2MMZJM3,"3级主焦煤",42414.77500
LJXX,A2MMFFM1,"1级肥煤",968.56000
LJXX,A2MMFFM2,"2级肥煤",1049.96000
LJXX,A2MMJPS1,"1级贫瘦煤",3137.62000
LJXX,A2MMQQM1,"1级气煤",1179.02000
LJXX,A2MMSJM2,"2级瘦焦煤",338.60000
LJXX,A2MMSYM3,"3级1/3焦煤",714.64000
LJXX,A2MMZJM1,"1级主焦煤",10492.08600
LJXX,A2MMZJM2,"2级主焦煤",79.80000
LJXX,A2MMZJM3,"3级主焦煤",1554.40000
