"库区代码","品名代码","品名中文","库存量"
BFM5,A2MMFFM1,"1级肥煤",3340.31000
BFM5,A2MMGPS,国内贫瘦煤,2911.32000
BFM5,A2MMJPS1,"1级贫瘦煤",100.00000
BFM5,A2MMSYM2,"2级1/3焦煤",10293.73000
BFM5,A2MMZJM2,"2级主焦煤",1749.98000
LJM1,A2MMFFM1,"1级肥煤",8529.08500
LJM1,A2MMFFM2,"2级肥煤",12029.75200
LJM1,A2MMJPS1,"1级贫瘦煤",3469.73700
LJM1,A2MMQQM1,"1级气煤",384.94000
LJM1,A2MMQQM2,"2级气煤",7724.60000
LJM1,A2MMSJM2,"2级瘦焦煤",6715.56700
LJM1,A2MMSYM1,"1级1/3焦煤",4013.02100
LJM1,A2MMSYM2,"2级1/3焦煤",748.34000
LJM1,A2MMSYM3,"3级1/3焦煤",5527.38800
LJM1,A2MMZJM1,"1级主焦煤",29052.95000
LJM1,A2MMZJM2,"2级主焦煤",3173.21700
LJM1,A2MMZJM3,"3级主焦煤",20883.71000
LJM4,A2MMFFM1,"1级肥煤",3822.52600
LJM4,A2MMFFM2,"2级肥煤",3566.18200
LJM4,A2MMQQM1,"1级气煤",1654.05300
LJM4,A2MMSJM2,"2级瘦焦煤",5498.19000
LJM4,A2MMSYM1,"1级1/3焦煤",120.60600
LJM4,A2MMSYM2,"2级1/3焦煤",5630.01000
LJM4,A2MMSYM3,"3级1/3焦煤",2054.03800
LJM4,A2MMZJM1,"1级主焦煤",15001.19000
LJM4,A2MMZJM2,"2级主焦煤",6871.76000
LJM4,A2MMZJM3,"3级主焦煤",9123.28700
LJM5,A2MMFFM1,"1级肥煤",4288.61700
LJM5,A2MMGPS,国内贫瘦煤,13004.66000
LJM5,A2MMJPS1,"1级贫瘦煤",3117.87600
LJM5,A2MMQQM1,"1级气煤",824.52000
LJM5,A2MMSJM2,"2级瘦焦煤",4957.76000
LJM5,A2MMSYM1,"1级1/3焦煤",589.80000
LJM5,A2MMSYM2,"2级1/3焦煤",1973.80000
LJM5,A2MMSYM3,"3级1/3焦煤",2596.92000
LJM5,A2MMZJM1,"1级主焦煤",16966.95400
LJM5,A2MMZJM2,"2级主焦煤",7122.26100
LJM5,A2MMZJM3,"3级主焦煤",10797.61100
LJXX,A2MMFFM1,"1级肥煤",675.40000
LJXX,A2MMFFM2,"2级肥煤",0.00000
LJXX,A2MMJPS1,"1级贫瘦煤",0.00000
LJXX,A2MMQQM1,"1级气煤",0.00000
LJXX,A2MMQQM2,"2级气煤",228.80000
LJXX,A2MMSJM2,"2级瘦焦煤",0.00000
LJXX,A2MMSYM2,"2级1/3焦煤",765.00000
LJXX,A2MMSYM3,"3级1/3焦煤",0.00000
LJXX,A2MMZJM1,"1级主焦煤",363.00000
LJXX,A2MMZJM2,"2级主焦煤",0.00000
LJXX,A2MMZJM3,"3级主焦煤",0.00000
